   1         92       94      139       90      404      509      510      511      399      512
   1         42      134      155      124      513      514      515      516      517      518
   1        109      125      137      142      519      520      521      522      523      524
   1        109      125      103      137      519      448      520      525      522      526
   1        100       92      105       89      419      430      527      528      391      529
   1        109      125       88      103      519      442      448      530      525      427
   1         88      142      109      102      531      442      423      521      532      443
   1        109      125      142       88      519      521      442      523      530      531
   1        108      152       94      138      533      468      534      535      536      537
   1        147      137      110      125      538      539      540      541      522      542
   1        108      152      111       94      533      476      468      543      535      454
   1        109      123      137       96      544      520      447      545      546      547
   1        108      152      113      111      533      470      476      548      543      477
   1         66      156       79       82      549      355      363      550      551      369
   1        116       24        9        8      552      492      490      189      190      165
   1         60      128       66      141      553      324      554      555      556      557
   1        147      137      107      110      538      558      539      559      541      462
   1        147      137      152      107      538      560      558      561      559      562
   1         30        4       31      115      205      222      563      208      483      564
   1        108      152      138      113      533      534      470      536      548      565
   1         43      124      134      151      566      567      568      517      569      570
   1        130       22       21       37      571      572      573      185      230      231
   1        147      137      125      152      538      540      560      522      561      574
   1        142      136      102       88      575      532      531      576      577      423
   1        142      136      106      102      575      578      532      579      576      435
   1         30        3        4      115      206      205      563      160      482      483
   1        118       25       43      119      580      581      502      246      582      583
   1        137      142      112      109      524      584      520      585      521      463
   1         86       79      135      120      586      587      588      589      590      591
   1        138      108       98       94      534      592      537      441      468      461
   1         49       36       47       45      262      593      274      594      249      256
   1          8      116       23        7      490      186      164      595      489      187
   1        136       81       88       84      596      577      597      381      598      382
   1        118       25       28       43      580      599      581      200      246      600
   1        152      136      106      125      601      602      574      579      603      604
   1        118       25       12       28      580      498      599      194      200      201
   1        118       25      119       12      580      502      498      582      194      499
   1        142      136      125      106      575      523      578      603      579      604
   1         47       36      117       35      594      605      254      606      224      607
   1         90      101      139       92      608      512      510      609      420      509
   1        142      136       88      125      575      531      523      577      603      530
   1         85      138       98       94      610      412      460      592      537      461
   1        130       22      115       21      571      611      572      612      185      613
   1         79       86       97       82      586      614      369      418      615      408
   1        121      148       80       69      616      617      618      619      620      359
   1        148       98       80       69      621      619      620      410      411      359
   1        118       43      124      157      581      622      623      566      624      625
   1        127       55      122       59      626      627      628      629      295      630
   1        136       81      102       88      596      576      577      424      381      423
   1         36       47       45       35      594      249      224      256      254      250
   1        130       22      116      115      571      631      611      632      612      491
   1        114       38       41       30      633      634      635      241      232      240
   1         75       81       65       57      365      343      636      361      362      311
   1         83      102      106      132      425      436      637      435      638      639
   1         77      141       73      120      640      349      641      642      643      644
   1        115       31       21        5      564      613      484      221      207      182
   1        116       23       44       52      595      645      646      247      269      270
   1        123      101      112      137      647      648      545      471      649      584
   1        123      101      105      112      647      650      648      433      471      467
   1          6       22       21      115      184      181      487      185      612      613
   1         77      141       56       73      640      350      349      651      642      345
   1         75       65       72       57      343      344      636      652      311      653
   1        114       40       48       19      654      655      656      263      237      258
   1         77      141       63       56      640      360      350      657      651      304
   1        138      113      129      108      565      658      534      659      470      660
   1        155      141       66      128      661      662      663      557      556      555
   1         57       83       68       99      366      322      664      367      416      413
   1        131      149      154      126      665      666      667      668      669      670
   1        116      130      114       44      631      493      645      671      672      673
   1         92      100      105      101      419      528      420      430      421      433
   1        116      130      115      114      631      491      493      611      671      485
   1         14       34      119       15      216      501      171      674      215      507
   1        100      123       89      105      675      527      430      676      650      529
   1         61       73       54      141      336      315      677      337      642      678
   1         77      141      120       63      640      641      360      643      657      679
   1        121      148       69       70      616      618      680      620      681      330
   1        151      134       42      124      570      682      569      513      517      515
   1         30        3      114       29      206      635      226      481      203      683
   1         68       74       95       99      341      684      413      403      414      415
   1         30        3      115      114      206      563      635      482      481      485
   1         64      155       66      128      685      325      686      662      663      555
   1        123      101      137       90      647      545      687      649      608      688
   1        119       43       47       33      583      689      690      691      245      260
   1         96       93      123       78      407      546      692      693      397      694
   1         47       43      119      157      691      689      695      583      624      696
   1         29      114       48       19      683      257      211      655      656      258
   1         80       74       62       95      697      357      402      340      403      401
   1        141       73       54       56      642      678      651      337      345      286
   1         24      116        9       20      552      189      192      492      698      179
   1         42      124       26       32      515      244      243      699      700      227
   1        116      114       46       52      493      701      646      702      703      271
   1         38      114       48       29      633      279      233      655      683      257
   1         83      102      132       81      425      637      368      638      424      704
   1         85       94      152      138      460      705      610      535      537      536
   1         71      140       61       45      706      346      332      707      708      299
   1         20      114        1       19      709      178      180      479      656      177
   1        110      137      104      103      541      478      452      710      526      459
   1        107      137      139      104      559      711      437      712      710      713
   1        118      151       28       32      714      599      715      716      717      212
   1         71      140      141       61      706      718      346      719      707      677
   1        120       63      135       77      679      591      641      720      360      721
   1         86      120       82       79      588      615      586      722      590      369
   1         24      116       23        8      552      191      190      595      490      186
   1         71      140      128      141      706      723      718      724      719      556
   1         71      140       45      128      706      332      723      708      724      725
   1        104      137      110      107      710      478      437      541      559      462
   1        118      151       43       28      714      581      599      568      716      600
   1         62      131      154      126      726      727      728      666      667      670
   1         66      156       82      133      549      363      729      551      730      731
   1        132      150       81      129      732      704      733      734      735      736
   1        132      136      106      113      737      639      738      579      739      473
   1         94       92       89       90      404      400      399      391      510      395
   1         60      128      133       66      553      740      324      741      555      729
   1        132      150       83       81      732      637      704      742      734      368
   1         72       57      121      129      653      743      744      745      746      747
   1        130       31       21      115      748      572      611      221      564      613
   1        118      151      124       43      714      622      581      569      568      566
   1        106      136      132      102      579      639      435      737      576      638
   1        132      150       99       83      732      749      637      750      742      416
   1        130       31       39       21      748      751      572      235      221      234
   1        118      151       32      124      714      715      622      717      569      700
   1        121      129       99       95      747      752      753      754      755      415
   1        122      149      126      127      756      757      627      669      758      759
