   1            1        2       19
   1            9        1       20
   1            1       19       20
   1            5        6       21
   1            6        7       22
   1            6       22       21
   1            7        8       23
   1            7       23       22
   1            8        9       24
   1           23        8       24
   1            9       20       24
   1           12       13       25
   1           18       10       26
   1           17       18       27
   1           18       26       27
   1           12       25       28
   1           12       28       11
   1            2        3       29
   1            3        4       30
   1            4        5       31
   1           10       11       32
   1            2       29       19
   1           11       28       32
   1           13       14       33
   1           14       15       34
   1           15       16       35
   1           16       17       36
   1            5       21       31
   1           30        4       31
   1           13       33       25
   1           35       16       36
   1           36       17       27
   1           29        3       30
   1           10       32       26
   1           34       15       35
   1           33       14       34
   1           21       22       37
   1           29       30       38
   1           31       21       39
   1           21       37       39
   1           20       19       40
   1           30       31       41
   1           38       30       41
   1           31       39       41
   1           26       32       42
   1           25       33       43
   1           22       23       44
   1           35       36       45
   1           24       20       46
   1           20       40       46
   1           34       35       47
   1           35       45       47
   1           19       29       48
   1           37       22       44
   1           34       47       33
   1           36       27       49
   1           40       19       48
   1           28       25       50
   1           32       28       51
   1           23       24       52
   1           44       23       52
   1           24       46       52
   1           27       26       53
   1           45       36       49
   1           53       26       42
   1           25       43       50
   1           28       50       51
   1           27       53       49
   1           48       29       38
   1           32       51       42
   1           33       47       54
   1           37       44       55
   1           33       54       43
   1           43       54       56
   1           50       43       56
   1           40       48       57
   1           41       39       58
   1           39       37       59
   1           59       37       55
   1           42       51       60
   1           58       39       59
   1           47       45       61
   1           55       44       62
   1           44       52       62
   1           50       56       63
   1           50       63       51
   1           49       53       64
   1           48       38       65
   1           57       48       65
   1           53       42       66
   1           49       64       45
   1           54       47       61
   1           51       63       60
   1           38       41       67
   1           41       58       67
   1           46       40       68
   1           40       57       68
   1           65       38       67
   1           42       60       66
   1           64       53       66
   1           59       55       69
   1           58       59       70
   1           59       69       70
   1           45       64       71
   1           67       58       72
   1           58       70       72
   1           54       61       73
   1           52       46       74
   1           62       52       74
   1           46       68       74
   1           65       67       75
   1           67       72       75
   1           54       73       56
   1           45       71       61
   1           61       71       76
   1           56       73       77
   1           73       61       76
   1           60       63       78
   1           66       60       79
   1           60       78       79
   1           55       62       80
   1           55       80       69
   1           63       56       77
   1           57       65       81
   1           64       66       82
   1           65       75       81
   1           68       57       83
   1           57       81       83
   1           66       79       82
   1           75       72       84
   1           70       69       85
   1           77      100       63
   1           76       71       86
   1           64       82       87
   1           81       75       88
   1           75       84       88
   1           73       76       89
   1           76       86       90
   1           72       70       91
   1           70       85       91
   1           73       89       77
   1           77       89       92
   1           86       71       87
   1           64       87       71
   1           89       76       90
   1           84       72       91
   1           79       78       93
   1           89       90       94
   1           80       62       95
   1           62       74       95
   1           92       89       94
   1           82       79       96
   1           79       93       96
   1           87       82       97
   1           69       80       98
   1           69       98       85
   1           74       68       99
   1           95       74       99
   1           68       83       99
   1           82       96       97
   1           86       87       97
   1           77       92      100
   1          100       92      101
   1           78       63      100
   1           81       88      102
   1           83       81      102
   1           88       84      103
   1           86       97      104
   1           78      100      105
   1           93       78      105
   1          100      101      105
   1           86      104       90
   1           83      102      106
   1           90      104      107
   1           80       95      108
   1           80      108       98
   1          102       88      109
   1           97       96      103
   1           96       93      109
   1          103       96      109
   1           90      107       94
   1           84       91      110
   1          103       84      110
   1           83      106       99
   1           92       94      111
   1           92      111      101
   1           91       85      107
   1          104       97      103
   1          109       88      103
   1           94      107       85
   1           94       85       98
   1          110       91      107
   1          102      109      112
   1          109       93      112
   1          106      102      112
   1           93      105      112
   1           94       98      108
   1          108       95      113
   1          112      105      101
   1          106      112      101
   1           99      106      113
   1           95       99      113
   1          101      111      106
   1           94      108      111
   1          108      113      111
   1          110      107      104
   1          110      104      103
   1          113      106      111
   2            2        1      114
   2            3        2      114
   2            4        3      115
   2            5        4      115
   2            3      114      115
   2            1        9      114
   2            6        5      115
   2            7        6      116
   2            8        7      116
   2            6      115      116
   2            9        8      116
   2          114        9      116
   2          115      114      116
   3           18       17      117
   3           11       10      118
   3           11      118       12
   3           13       12      119
   3           14       13      119
   3           12      118      119
   3          117      118       18
   3           15      119      117
   3          117       16       15
   3           14      119       15
   3           17       16      117
   3           10       18      118
   3          119      118      117
