   1         92       94      139       90
   1         42      134      155      124
   1        109      125      137      142
   1        109      125      103      137
   1        100       92      105       89
   1        109      125       88      103
   1         88      142      109      102
   1        109      125      142       88
   1        108      152       94      138
   1        147      137      110      125
   1        108      152      111       94
   1        109      123      137       96
   1        108      152      113      111
   1         66      156       79       82
   1        116       24        9        8
   1         60      128       66      141
   1        147      137      107      110
   1        147      137      152      107
   1         30        4       31      115
   1        108      152      138      113
   1         43      124      134      151
   1        130       22       21       37
   1        147      137      125      152
   1        142      136      102       88
   1        142      136      106      102
   1         30        3        4      115
   1        118       25       43      119
   1        137      142      112      109
   1         86       79      135      120
   1        138      108       98       94
   1         49       36       47       45
   1          8      116       23        7
   1        136       81       88       84
   1        118       25       28       43
   1        152      136      106      125
   1        118       25       12       28
   1        118       25      119       12
   1        142      136      125      106
   1         47       36      117       35
   1         90      101      139       92
   1        142      136       88      125
   1         85      138       98       94
   1        130       22      115       21
   1         79       86       97       82
   1        121      148       80       69
   1        148       98       80       69
   1        118       43      124      157
   1        127       55      122       59
   1        136       81      102       88
   1         36       47       45       35
   1        130       22      116      115
   1        114       38       41       30
   1         75       81       65       57
   1         83      102      106      132
   1         77      141       73      120
   1        115       31       21        5
   1        116       23       44       52
   1        123      101      112      137
   1        123      101      105      112
   1          6       22       21      115
   1         77      141       56       73
   1         75       65       72       57
   1        114       40       48       19
   1         77      141       63       56
   1        138      113      129      108
   1        155      141       66      128
   1         57       83       68       99
   1        131      149      154      126
   1        116      130      114       44
   1         92      100      105      101
   1        116      130      115      114
   1         14       34      119       15
   1        100      123       89      105
   1         61       73       54      141
   1         77      141      120       63
   1        121      148       69       70
   1        151      134       42      124
   1         30        3      114       29
   1         68       74       95       99
   1         30        3      115      114
   1         64      155       66      128
   1        123      101      137       90
   1        119       43       47       33
   1         96       93      123       78
   1         47       43      119      157
   1         29      114       48       19
   1         80       74       62       95
   1        141       73       54       56
   1         24      116        9       20
   1         42      124       26       32
   1        116      114       46       52
   1         38      114       48       29
   1         83      102      132       81
   1         85       94      152      138
   1         71      140       61       45
   1         20      114        1       19
   1        110      137      104      103
   1        107      137      139      104
   1        118      151       28       32
   1         71      140      141       61
   1        120       63      135       77
   1         86      120       82       79
   1         24      116       23        8
   1         71      140      128      141
   1         71      140       45      128
   1        104      137      110      107
   1        118      151       43       28
   1         62      131      154      126
   1         66      156       82      133
   1        132      150       81      129
   1        132      136      106      113
   1         94       92       89       90
   1         60      128      133       66
   1        132      150       83       81
   1         72       57      121      129
   1        130       31       21      115
   1        118      151      124       43
   1        106      136      132      102
   1        132      150       99       83
   1        130       31       39       21
